word	parts
bacterium	n
bad	adj|adv|interj|n|v
badge	n|v
badger	n|v
badinage	n|v
badly	adj|adv
badminton	n
baffle	n|v
bag	n|v
baggage	n
bail	n|v
bait	adj|n|v
bake	n|v
bakery	n
balance	n|v
balanced	adj|v
balcony	n
bald	adj|n|v
baldness	n
bale	n|v
baleful	adj
balk	n|v
balky	adj
ball	interj|n|v
ballad	n|v
ballast	n|v
ballerina	n
ballet	n|v
balloon	n|v
balloonist	n
ballot	n|v
ballpoint	n
ballroom	n|v
balm	n|v
balmy	adj
bamboo	adj|n|v
bamboozle	n|v
ban	n|v
banal	adj
banana	adj|n
band	n|v
bandage	n|v
bandanna	n
bandit	n|v
bandleader	n
bandmaster	n
bands	n|v
bandy	adj|n|v
bane	n|v
bang	adv|interj|n|v
banish	v
banister	n|v
bank	n|v
banker	n
banking	n|v
bankrupt	adj|n|v
bankruptcy	n
banner	adj|n|v
banquet	n|v
banter	n|v
bar	adj|adv|n|prep|v
barb	n|v
barbarian	adj|n
barbarous	adj
barbecue	n|v
barber	n|v
barbershop	n|v
bard	n|v
bare	adj|adv|n|v
barefaced	adj
barely	adv
bargain	n|v
barge	n|v
bark	interj|n|v
barley	n
barn	n|v
barometer	n
baron	n
baroque	adj|n
barrage	n|v
barrel	n|v
barren	adj|n
barrenness	n
barricade	n|v
barrier	n|v
barrister	n
barter	n|v
base	adj|n|v
baseball	n
basement	n
bashful	adj
basic	adj|n
basically	adv
basin	n|v
basis	n
bask	n|v
basket	n|v
basketball	n|v
bassoon	n|v
baste	n|v
bat	n|v
batch	adj|n|v
bath	n|v
bathe	n|v
bather	n
bathetic	adj
bathrobe	n
bathroom	n|v
bathtub	n
baton	n|v
battalion	n|v
batter	n|v
battery	n
battle	adj|n|v
battleground	n
bauble	n
bauxite	n
bawdy	adj|n
bawl	n|v
bay	adj|n|v
bazaar	n
be	adj|n|prep|v
beach	n|v
beacon	n|v
bead	n|v
beaded	adj|v
beak	n|v
beam	n|v
bean	n|v
beancurd	n
bear	adj|n|v
beard	n|v
bearing	adj|n|v
beast	adj|n|v
beat	adj|n|v
beatific	adj
beats	n|v
beautiful	adj|n
beauty	adj|interj|n|v
beaver	n|v
because	adv|conj|interj|prep
beckon	n|v
become	v
becoming	adj|n|v
bed	n|v
bedclothes	n
beddings	n
bedeck	v
bedizen	v
bedlam	n
bedraggled	adj|v
bedrock	n|v
bedroom	n
beds	n|v
bedsit	n
bee	n|v
beef	adj|n|v
beehive	n|v
beer	n|v
beet	n|v
beetle	adj|n|v
before	adv|conj|n|prep
beforehand	adj|adv
befuddle	v
befuddlement	n
beg	n|v
beget	v
beggar	n|v
begin	n|v
beginner	n
beginners	n
beginning	adj|n|v
begrudge	v
beguile	v
behalf	n
behave	v
behavior	n
behaviour	n
behind	adj|adv|n|prep
behold	interj|v
beholden	adj
beholder	n
behoove	v
being	conj|n|v
belabor	v
belated	adj|v
belch	n|v
beleaguer	v
belgium	n
belie	v
belief	n
believe	v
believer	n
belittle	v
bell	n|v
bellicose	adj
belligerence	n
belligerent	adj|n
bellows	n|v
bellwether	n
belly	n|v
belong	prep|v
belongings	n
beloved	adj|n|v
below	adv|n|prep
belt	n|v
belts	n|v
bemused	adj|v
bench	n|v
bend	n|v
beneath	adv|prep
benediction	n
benefactor	n
beneficial	adj|n
beneficiary	adj|n
benefit	n|v
benefits	n|v
benevolent	adj
benign	adj
benison	n
bent	adj|n|v
bequeath	v
bequest	n|v
berate	v
bereave	v
bereft	adj|v
berlin	n
berry	n|v
berserk	adj|n|v
berth	n|v
beseech	n|v
beset	v
beside	adv|prep
besides	adv|prep
besiege	v
besmirch	v
bespeak	n|v
best	adj|adv|n|v
bestial	adj|n
bestow	n|v
bet	interj|n|prep|v
betoken	v
betray	v
betroth	v
better	adj|adv|n|v
between	n|prep
beverage	n
beware	v
bewilder	v
bewildering	adj|n|v
beyond	adv|n|prep
bias	adj|adv|n|v
biased	adj|v
bible	n
bibliography	n
bibliophile	n
bibulous	adj
bicameral	adj
bicker	n|v
bicycle	n|v
bicycles	n|v
bid	adv|n|v
bidding	n|v
biennial	adj|n
bifurcate	adj|v
big	adj|adv|n|phrase|v
bigot	n
bigoted	adj
bigotry	n
bike	n|v
bilateral	adj|n
bile	n|v
bilingual	adj|n
bilious	adj
bilk	n|v
bill	n|v
billion	num
billow	n|v
billowy	adj
bin	n|phrase|v
bind	n|v
bingo	adj|interj|n|v
biochemistry	n
biographer	n
biography	n|v
biological	adj|n
biologist	n
biology	n
biosphere	n
biotech	n
biped	n
bipedal	adj
bird	adj|n|v
birdcage	n
birds	n
birmingham	n
birth	adj|n|v
birthday	n|v
birthplace	n
biscuit	n|v
bishop	n|v
bison	n
bit	adj|n|v
bite	n|v
bitter	adj|adv|n|v
bitterly	adv
bitterness	n
bitumen	n|v
bizarre	adj|n
black	adj|n|v
blackball	n|v
blackboard	n|v
blackmail	n|v
blacksmith	n|v
blade	n|v
blame	adj|n|v
blanch	n|v
bland	adj|n|v
blandishment	n
blank	adj|n|v
blanket	adj|n|v
blare	n|v
blasphemy	n
blast	interj|n|v
blatant	adj
blaze	n|v
blazing	adj|n|v
blazon	n|v
bleach	adj|n|v
bleachers	n
bleak	adj|n
bleed	n|v
blemish	n|v
blend	n|v
bless	interj|n|v
blessing	n|v
blight	n|v
blighted	adj|v
blind	adj|adv|n|v
blinds	n|v
blink	n|v
bliss	n
blissful	adj
blithe	adj|n
blizzard	n|v
bloated	adj|v
bloc	n
block	n|v
blockade	n|v
blockage	n
blocks	n|v
blond	adj|n|v
blonde	adj|n|v
blood	n|v
bloody	adj|adv|n|v
bloom	n|v
blooming	adj|adv|n|v
blossom	n|v
blot	n|v
blotch	n|v
blouse	n|v
blow	adj|interj|n|v
blowhard	n
bludgeon	n|v
blue	adj|n|v
blueprint	n|v
blues	n|v
bluff	adj|n|v
blunder	n|v
blunt	adj|n|v
bluntly	adv
blur	adj|n|v
blurb	n|v
blurt	n|v
blush	n|v
bluster	n|v
blustering	adj|n|v
board	n|v
boarder	n
boardinghouse	n
boast	n|v
boastful	adj
boat	n|v
boating	n|v
bode	n|v
bodily	adj|adv|n
boding	adj|n|v
body	n|v
bodyguard	n|v
bog	adj|n|v
boggle	n|v
bogus	adj|n
bohemian	adj|n
boil	n|v
boiler	n
boisterous	adj
bold	adj|n|v
bolster	n|v
bolt	adv|n|v
bomb	adj|n|phrase|v
bombardment	n
bombast	adj|n|v
bombastic	adj
bonanza	n
bond	adj|n|v
bondage	n
bone	adj|adv|n|v
bones	n|v
bonhomie	n
bonnet	n|v
bonus	n|v
boo	interj|n|v
book	n|v
bookcase	n
booking	n|v
bookkeeper	n
booklet	n
booklist	n
bookmark	n|v
books	n|v
bookshelf	n
bookshop	n
bookstore	n
boom	interj|n|v
boon	adj|n
boor	n
boost	n|v
boot	n|v
booth	n
bootless	adj
boots	adv|n|v
border	n|v
bore	n|v
bored	adj|v
boredom	n
boring	adj|n|v
born	adj|n|v
borrow	n|v
bosom	adj|n|v
boss	adj|n|v
botanical	adj|n
botany	n
botch	n|v
both	conj|det|n|pron
bother	interj|n|v
bottle	n|v
bottleneck	n|v
bottom	adj|n|v
bough	n
boulder	n|v
bounce	n|v
bound	adj|n|v
boundary	n
boundless	adj
bounteous	adj
bounty	n|v
bouquet	n
bourgeois	adj|n|v
bout	n|prep|v
bovine	adj|n
bow	interj|n|v
bowdlerize	v
bowel	n|v
bower	n|v
bowl	n|v
bowlegged	adj
bowling	n|v
bowls	n|v
box	n|v
boxing	n|v
boy	adj|interj|n|v
boycott	n|v
brace	n|v
bracelet	n|v
bracing	adj|n|v
bracket	n|v
brackish	adj
brag	adj|adv|n|v
braggadocio	n
braggart	adj|n
braid	adj|n|v
brain	n|v
brake	n|v
branch	n|v
brand	n|v
brandish	n|v
brandy	n|v
brash	adj|n|v
brass	adj|n|v
brassy	adj|n
brat	adj|n|v
brattish	adj|n|v
bravado	n|v
brave	adj|n|v
bravery	n
bravura	adj|n
brawl	n|v
brawling	adj|n|v
brawny	adj
bray	n|v
brazen	adj|v
breach	n|v
bread	n|v
breadth	n
break	n|v
breakdown	n
breakfast	n|v
breakthrough	adj|n
breakup	n
breast	n|v
breath	adj|n|v
breathe	v
breathing	adj|n|v
breathless	adj
breathtaking	adj
breed	n|v
breeding	adj|n|v
breeze	n|v
breezeway	n
brew	n|v
brewery	n
bribe	n|v
brick	adj|n|v
bricklayer	n
bride	n|v
bridegroom	n
